Infinitiv,Prateritum,Partizip_2,Translation
bleiben,blieb,geblieben,оставаться
leihen,lieh,geliehen,брать взаймы
meiden,mied,gemieden,избегать
scheiden,schied,geschieden,сепарировать
scheinen,schien,geschienen,светить
schreiben,schrieb,geschrieben,писать
schreien,schrie,geschrien,кричать
schweigen,schwieg,geschwiegen,молчать
steigen,stieg,gestiegen,подниматься
treiben,trieb,getrieben,заниматься спортом
verzeihen,verzieh,verziehen,прощать
weisen,wies,gewiesen,указывать
